"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 20, 2015","854.00","854.00","854.00","854.00","-","0.95%"
"Jul 17, 2015","846.00","846.00","846.00","846.00","-","0.71%"
"Jul 16, 2015","840.00","840.00","840.00","840.00","-","1.94%"
"Jul 15, 2015","824.00","824.00","824.00","824.00","-","0.49%"
"Jul 14, 2015","820.00","820.00","820.00","820.00","-","-0.85%"
"Jul 13, 2015","827.00","827.00","827.00","827.00","-","-0.96%"
"Jul 10, 2015","835.00","835.00","835.00","835.00","-","-2.57%"
"Jul 09, 2015","857.00","857.00","857.00","857.00","-","-1.49%"
"Jul 08, 2015","870.00","870.00","870.00","870.00","-","-2.03%"
"Jul 07, 2015","888.00","888.00","888.00","888.00","-","-1.66%"
"Jul 06, 2015","903.00","903.00","903.00","903.00","-","-1.42%"
"Jul 03, 2015","916.00","916.00","916.00","916.00","-","-2.14%"
"Jul 02, 2015","936.00","936.00","936.00","936.00","-","-1.68%"
"Jul 01, 2015","952.00","952.00","952.00","952.00","-","-2.06%"
"Jun 30, 2015","972.00","972.00","972.00","972.00","-","-1.72%"
"Jun 29, 2015","989.00","989.00","989.00","989.00","-","-3.61%"
"Jun 26, 2015","1,026.00","1,026.00","1,026.00","1,026.00","-","-2.66%"
"Jun 25, 2015","1,054.00","1,054.00","1,054.00","1,054.00","-","-1.13%"
"Jun 24, 2015","1,066.00","1,066.00","1,066.00","1,066.00","-","-0.37%"
"Jun 23, 2015","1,070.00","1,070.00","1,070.00","1,070.00","-","2.29%"
"Jun 22, 2015","1,046.00","1,046.00","1,046.00","1,046.00","-","2.05%"
"Jun 19, 2015","1,025.00","1,025.00","1,025.00","1,025.00","-","1.38%"
"Jun 18, 2015","1,011.00","1,011.00","1,011.00","1,011.00","-","4.33%"
"Jun 17, 2015","969.00","969.00","969.00","969.00","-","4.08%"
"Jun 16, 2015","931.00","931.00","931.00","931.00","-","1.53%"
"Jun 15, 2015","917.00","917.00","917.00","917.00","-","0.00%"
"Jun 12, 2015","917.00","917.00","917.00","917.00","-","0.99%"
"Jun 11, 2015","908.00","908.00","908.00","908.00","-","-0.22%"
"Jun 10, 2015","910.00","910.00","910.00","910.00","-","-0.44%"
"Jun 09, 2015","914.00","914.00","914.00","914.00","-","3.04%"
"Jun 08, 2015","887.00","887.00","887.00","887.00","-","1.49%"
"Jun 05, 2015","874.00","874.00","874.00","874.00","-","1.27%"
"Jun 04, 2015","863.00","863.00","863.00","863.00","-","0.47%"
"Jun 03, 2015","859.00","859.00","859.00","859.00","-","1.30%"
"Jun 02, 2015","848.00","848.00","848.00","848.00","-","0.00%"
"Jun 01, 2015","848.00","848.00","848.00","848.00","-","-0.93%"
"May 29, 2015","856.00","856.00","856.00","856.00","-","-1.04%"
"May 28, 2015","865.00","865.00","865.00","865.00","-","-0.35%"
"May 27, 2015","868.00","868.00","868.00","868.00","-","-1.70%"
"May 26, 2015","883.00","883.00","883.00","883.00","-","-2.00%"
"May 22, 2015","901.00","901.00","901.00","901.00","-","-1.85%"
"May 21, 2015","918.00","918.00","918.00","918.00","-","-2.13%"
"May 20, 2015","938.00","938.00","938.00","938.00","-","5.16%"
"May 19, 2015","892.00","892.00","892.00","892.00","-","5.44%"
"May 18, 2015","846.00","846.00","846.00","846.00","-","2.05%"
"May 15, 2015","829.00","829.00","829.00","829.00","-","2.85%"
"May 14, 2015","806.00","806.00","806.00","806.00","-","5.91%"
"May 13, 2015","761.00","761.00","761.00","761.00","-","1.74%"
"May 12, 2015","748.00","748.00","748.00","748.00","-","0.27%"
"May 11, 2015","746.00","746.00","746.00","746.00","-","-0.93%"
"May 08, 2015","753.00","753.00","753.00","753.00","-","1.21%"
"May 07, 2015","744.00","744.00","744.00","744.00","-","0.40%"
"May 06, 2015","741.00","741.00","741.00","741.00","-","-0.54%"
"May 05, 2015","745.00","745.00","745.00","745.00","-","-0.53%"
"May 01, 2015","749.00","749.00","749.00","749.00","-","-0.66%"
"Apr 30, 2015","754.00","754.00","754.00","754.00","-","-1.82%"
"Apr 29, 2015","768.00","768.00","768.00","768.00","-","-0.52%"
"Apr 28, 2015","772.00","772.00","772.00","772.00","-","-0.13%"
"Apr 27, 2015","773.00","773.00","773.00","773.00","-","-0.64%"
"Apr 24, 2015","778.00","778.00","778.00","778.00","-","-0.77%"
"Apr 23, 2015","784.00","784.00","784.00","784.00","-","-1.01%"
"Apr 22, 2015","792.00","792.00","792.00","792.00","-","-1.12%"
"Apr 21, 2015","801.00","801.00","801.00","801.00","-","-0.50%"
"Apr 20, 2015","805.00","805.00","805.00","805.00","-","0.75%"
"Apr 17, 2015","799.00","799.00","799.00","799.00","-","-0.13%"
"Apr 16, 2015","800.00","800.00","800.00","800.00","-","0.25%"
"Apr 15, 2015","798.00","798.00","798.00","798.00","-","1.01%"
"Apr 14, 2015","790.00","790.00","790.00","790.00","-","1.54%"
"Apr 13, 2015","778.00","778.00","778.00","778.00","-","0.78%"
